,date,close,open,high,low,ohcl_avg,name
425,2021-06-22,4246.44,4224.61,4255.84,4217.27,4236.04,spx
426,2021-06-21,4224.79,4173.4,4226.24,4173.4,4199.4575,spx
427,2021-06-18,4166.45,4204.78,4204.78,4164.4,4185.102499999999,spx
428,2021-06-17,4221.86,4220.37,4232.29,4196.05,4217.6425,spx
429,2021-06-16,4223.7,4248.87,4251.89,4202.45,4231.7275,spx
430,2021-06-15,4246.59,4255.28,4257.16,4238.35,4249.344999999999,spx
431,2021-06-14,4255.15,4248.31,4255.59,4234.07,4248.280000000001,spx
432,2021-06-11,4247.44,4242.9,4248.38,4232.25,4242.742499999999,spx
433,2021-06-10,4239.18,4228.56,4249.74,4220.34,4234.455,spx
434,2021-06-09,4219.55,4232.99,4237.09,4218.74,4227.092500000001,spx
435,2021-06-08,4227.26,4233.81,4236.74,4208.41,4226.555,spx
436,2021-06-07,4226.52,4229.34,4232.34,4215.66,4225.965,spx
437,2021-06-04,4229.89,4206.05,4233.45,4206.05,4218.86,spx
438,2021-06-03,4192.85,4191.43,4204.39,4167.93,4189.15,spx
439,2021-06-02,4208.12,4206.82,4217.37,4198.27,4207.645,spx
440,2021-06-01,4202.04,4216.52,4234.12,4197.59,4212.5675,spx
441,2021-05-28,4204.11,4210.77,4218.36,4203.57,4209.2025,spx
442,2021-05-27,4200.88,4201.94,4213.38,4197.78,4203.495,spx
443,2021-05-26,4195.99,4191.59,4202.61,4184.11,4193.575,spx
444,2021-05-25,4188.13,4205.94,4213.42,4182.52,4197.5025000000005,spx
445,2021-05-24,4197.05,4170.16,4209.52,4170.16,4186.7225,spx
446,2021-05-21,4155.86,4168.61,4188.72,4151.72,4166.2275,spx
447,2021-05-20,4159.12,4121.97,4172.8,4121.97,4143.965,spx
448,2021-05-19,4115.68,4098.45,4116.93,4061.41,4098.1175,spx
449,2021-05-18,4127.83,4165.94,4169.15,4125.99,4147.2275,spx
450,2021-05-17,4163.29,4169.92,4171.92,4142.69,4161.955,spx
451,2021-05-14,4173.85,4129.58,4183.13,4129.58,4154.035,spx
452,2021-05-13,4112.5,4074.99,4131.58,4074.99,4098.514999999999,spx
453,2021-05-12,4063.04,4130.55,4134.73,4056.88,4096.3,spx
454,2021-05-11,4152.1,4150.34,4162.04,4111.53,4144.0025000000005,spx
455,2021-05-10,4188.43,4228.29,4236.39,4188.13,4210.31,spx
456,2021-05-07,4232.6,4210.34,4238.04,4201.64,4220.655000000001,spx
457,2021-05-06,4201.62,4169.14,4202.7,4147.33,4180.1975,spx
458,2021-05-05,4167.59,4177.06,4187.72,4160.94,4173.3275,spx
459,2021-05-04,4164.66,4179.04,4179.04,4128.59,4162.8325,spx
460,2021-05-03,4192.66,4191.98,4209.39,4188.03,4195.514999999999,spx
461,2021-04-30,4181.17,4198.1,4198.1,4174.85,4188.055,spx
462,2021-04-29,4211.47,4206.14,4218.78,4176.81,4203.3,spx
463,2021-04-28,4183.18,4185.14,4201.53,4181.78,4187.9075,spx
464,2021-04-27,4186.72,4188.25,4193.35,4176.22,4186.135,spx
465,2021-04-26,4187.62,4185.03,4194.19,4182.36,4187.3,spx
466,2021-04-23,4180.17,4138.78,4194.17,4138.78,4162.975,spx
467,2021-04-22,4134.98,4170.46,4179.57,4123.69,4152.174999999999,spx
468,2021-04-21,4173.42,4128.42,4175.02,4126.35,4150.8025,spx
469,2021-04-20,4134.94,4159.18,4159.18,4118.38,4142.92,spx
470,2021-04-19,4163.26,4179.8,4180.81,4150.47,4168.585,spx
471,2021-04-16,4185.47,4174.14,4191.31,4170.75,4180.4175000000005,spx
